iter	Passed	Remaining
0	1	1529
1	3	1803
2	5	1890
3	7	1931
4	9	1945
5	11	1951
6	13	1964
7	16	1989
8	18	1995
9	20	2005
10	22	2006
11	24	2026
12	26	2037
13	28	2035
14	30	2034
15	33	2034
16	35	2031
17	37	2027
18	39	2025
19	41	2027
20	43	2025
21	45	2025
22	47	2022
23	49	2022
24	51	2023
25	54	2035
26	56	2047
27	59	2048
28	61	2049
29	63	2046
30	65	2044
31	67	2039
32	69	2042
33	72	2047
34	74	2045
35	76	2044
36	78	2041
37	80	2042
38	82	2039
39	85	2051
40	87	2050
41	89	2046
42	91	2044
43	93	2038
44	95	2034
45	98	2032
46	100	2029
47	102	2025
48	104	2020
49	106	2017
50	108	2014
51	110	2011
52	112	2009
53	114	2011
54	116	2008
55	119	2006
56	121	2003
57	123	2000
58	125	1997
59	127	1993
60	129	1990
61	131	1987
62	133	1986
63	135	1983
64	137	1980
65	139	1978
66	141	1975
67	143	1972
68	145	1968
69	148	1966
70	150	1965
71	152	1962
72	154	1960
73	156	1957
74	158	1955
75	160	1952
76	163	1954
77	165	1950
78	167	1948
79	169	1945
80	171	1943
81	173	1936
82	176	1945
83	177	1940
84	180	1938
85	182	1935
86	184	1932
87	185	1926
88	187	1921
89	189	1919
90	194	1946
91	197	1947
92	199	1944
93	201	1943
94	203	1940
95	205	1938
96	208	1936
97	210	1935
98	212	1932
99	214	1929
100	216	1927
101	218	1926
102	220	1924
103	222	1920
104	224	1917
105	226	1913
106	228	1911
107	231	1908
108	233	1905
109	235	1902
110	236	1898
111	239	1895
112	241	1892
113	243	1890
114	245	1888
115	247	1886
116	249	1884
117	251	1882
118	254	1880
119	255	1877
120	258	1875
121	260	1875
122	263	1879
123	265	1877
124	267	1873
125	269	1868
126	271	1864
127	273	1860
128	275	1857
129	277	1854
130	279	1851
131	280	1846
132	282	1842
133	284	1838
134	286	1834
135	288	1829
136	290	1831
137	292	1827
138	294	1824
139	296	1822
140	298	1820
141	300	1815
142	302	1815
143	304	1812
144	306	1809
145	308	1807
146	311	1804
147	313	1801
148	315	1799
149	317	1797
150	318	1792
151	320	1788
152	322	1786
153	324	1782
154	326	1779
155	328	1775
156	329	1771
157	331	1767
158	333	1763
159	335	1759
160	336	1756
161	338	1752
162	340	1748
163	342	1744
164	344	1741
165	345	1737
166	347	1734
167	349	1730
168	351	1727
169	353	1723
170	354	1720
171	356	1716
172	358	1713
173	360	1710
174	362	1706
175	363	1703
176	365	1700
177	367	1697
178	369	1694
179	371	1690
180	373	1687
181	374	1684
182	376	1681
183	378	1678
184	380	1675
185	382	1672
186	383	1668
187	385	1665
188	387	1662
189	389	1659
190	390	1656
191	392	1653
192	394	1650
193	396	1647
194	398	1643
195	399	1640
196	401	1637
197	403	1634
198	405	1631
199	407	1628
200	409	1627
201	411	1626
202	413	1623
203	415	1620
204	417	1617
205	419	1615
206	420	1612
207	422	1609
208	424	1607
209	426	1604
210	428	1601
211	430	1599
212	431	1596
213	433	1593
214	435	1590
215	437	1589
216	439	1586
217	441	1583
218	443	1581
219	445	1578
220	447	1575
221	449	1574
222	451	1571
223	453	1569
224	455	1568
225	457	1566
226	459	1565
227	461	1562
228	463	1560
229	465	1557
230	467	1555
231	469	1553
232	471	1550
233	472	1547
234	474	1545
235	476	1542
236	478	1539
237	480	1536
238	481	1534
239	483	1531
240	485	1530
241	487	1528
242	489	1525
243	491	1522
244	493	1520
245	495	1517
246	496	1514
247	498	1512
248	500	1510
249	502	1508
250	504	1505
251	506	1503
252	508	1501
253	510	1498
254	512	1496
255	514	1494
256	516	1492
257	518	1491
258	520	1489
259	522	1487
260	524	1485
261	526	1483
262	528	1481
263	530	1479
264	532	1477
265	534	1476
266	537	1474
267	539	1474
268	542	1473
269	544	1471
270	546	1470
271	548	1468
272	550	1467
273	553	1467
274	556	1466
275	558	1466
276	561	1465
277	564	1465
278	569	1472
279	571	1470
280	573	1468
281	575	1465
282	577	1463
283	579	1461
284	581	1458
285	583	1456
286	585	1453
287	586	1451
288	588	1448
289	590	1446
290	592	1444
291	594	1441
292	596	1439
293	598	1437
294	600	1435
295	603	1434
296	605	1432
297	608	1434
298	610	1432
299	612	1429
300	614	1427
301	616	1424
302	618	1423
303	620	1421
304	622	1418
305	624	1415
306	626	1413
307	627	1410
308	629	1407
309	631	1405
310	633	1402
311	634	1400
312	636	1397
313	638	1394
314	640	1392
315	641	1389
316	643	1386
317	645	1384
318	647	1381
319	649	1379
320	651	1377
321	652	1374
322	654	1372
323	658	1373
324	660	1371
325	662	1369
326	664	1366
327	666	1364
328	667	1362
329	669	1359
330	671	1357
331	673	1354
332	676	1354
333	678	1352
334	680	1349
335	681	1347
336	683	1345
337	685	1342
338	687	1340
339	689	1337
340	691	1335
341	692	1333
342	694	1330
343	696	1328
344	698	1325
345	700	1323
346	701	1320
347	703	1318
348	705	1316
349	707	1313
350	709	1311
351	710	1308
352	712	1306
353	714	1303
354	716	1301
355	718	1298
356	719	1296
357	721	1294
358	723	1291
359	725	1289
360	727	1287
361	729	1284
362	730	1282
363	732	1279
364	734	1277
365	736	1275
366	738	1273
367	739	1270
368	741	1268
369	743	1266
370	745	1263
371	747	1261
372	748	1258
373	750	1256
374	753	1255
375	759	1259
376	761	1258
377	763	1255
378	764	1253
379	766	1250
380	768	1248
381	770	1246
382	772	1244
383	774	1241
384	775	1239
385	777	1237
386	779	1234
387	781	1232
388	783	1230
389	785	1228
390	786	1225
391	788	1223
392	790	1221
393	792	1218
394	794	1216
395	796	1214
396	797	1211
397	799	1209
398	801	1207
399	803	1205
400	805	1203
401	807	1201
402	809	1199
403	811	1197
404	814	1195
405	816	1194
406	818	1192
407	819	1189
408	821	1187
409	823	1184
410	825	1182
411	827	1180
412	828	1178
413	830	1175
414	832	1173
415	834	1171
416	836	1169
417	838	1167
418	840	1165
419	842	1163
420	844	1161
421	846	1159
422	848	1156
423	850	1155
424	852	1153
425	854	1150
426	855	1148
427	857	1146
428	859	1144
429	861	1142
430	863	1139
431	865	1137
432	867	1135
433	869	1133
434	870	1131
435	872	1128
436	874	1126
437	876	1124
438	878	1122
439	880	1120
440	881	1117
441	883	1115
442	885	1113
443	887	1111
444	889	1108
445	890	1106
446	892	1104
447	895	1102
448	896	1100
449	898	1098
450	900	1096
451	902	1094
452	904	1092
453	906	1089
454	908	1087
455	909	1085
456	911	1083
457	913	1081
458	915	1079
459	917	1077
460	919	1074
461	921	1072
462	923	1070
463	924	1068
464	926	1066
465	928	1064
466	930	1061
467	932	1059
468	933	1057
469	935	1055
470	937	1052
471	939	1050
472	941	1048
473	942	1046
474	944	1044
475	946	1041
476	948	1039
477	950	1037
478	951	1035
479	953	1033
480	955	1031
481	957	1029
482	959	1026
483	961	1024
484	963	1022
485	964	1020
486	966	1018
487	968	1016
488	970	1013
489	972	1011
490	973	1009
491	975	1007
492	977	1005
493	979	1003
494	981	1001
495	983	999
496	985	996
497	986	994
498	988	992
499	990	990
500	992	988
501	994	986
502	996	984
503	998	982
504	1000	980
505	1002	978
506	1004	976
507	1006	975
508	1008	972
509	1010	970
510	1012	968
511	1013	966
512	1015	964
513	1017	962
514	1019	960
515	1021	957
516	1023	955
517	1025	953
518	1026	951
519	1028	949
520	1031	947
521	1032	945
522	1034	943
523	1037	942
524	1039	940
525	1041	938
526	1043	936
527	1045	934
528	1046	932
529	1048	930
530	1050	928
531	1052	925
532	1054	923
533	1056	921
534	1057	919
535	1059	917
536	1061	915
537	1063	913
538	1065	910
539	1066	908
540	1068	906
541	1070	904
